Actividad económica principal;Indicador;Comunidad autónoma;periodo;Total
323 Fabricación de artículos de deporte;Porcentaje;Galicia;2012;0,3
323 Fabricación de artículos de deporte;Porcentaje;Galicia;2011;0,3
323 Fabricación de artículos de deporte;Porcentaje;Galicia;2010;0,3
323 Fabricación de artículos de deporte;Porcentaje;Galicia;2009;0,4
323 Fabricación de artículos de deporte;Porcentaje;Galicia;2008;0,4
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2024;0,5
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2023;0,5
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2022;0,6
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2021;0,6
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2020;0,5
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2019;0,5
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2018;0,6
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2017;0,5
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2016;0,5
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2015;0,5
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2014;0,5
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2013;0,4
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2012;0,4
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2011;0,5
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2010;0,6
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2009;0,7
323 Fabricación de artículos de deporte;Porcentaje;Madrid, Comunidad de;2008;0,8
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2024;0,7
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2023;0,8
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2022;0,9
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2021;0,9
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2020;1,2
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2019;1,4
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2018;1,0
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2017;1,0
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2016;1,2
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2015;1,3
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2014;0,5
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2013;0,8
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2012;1,0
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2011;1,0
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2010;1,5
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2009;1,5
323 Fabricación de artículos de deporte;Porcentaje;Murcia, Región de;2008;1,8
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2024;0,7
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2023;0,9
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2022;1,0
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2021;1,1
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2020;0,9
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2019;1,2
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2018;2,3
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2017;1,3
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2016;1,7
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2015;1,8
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2014;2,0
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2013;2,2
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2012;2,2
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2011;2,3
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2010;2,3
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2009;1,6
323 Fabricación de artículos de deporte;Porcentaje;Navarra, Comunidad Foral de;2008;1,3
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2024;2,1
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2023;2,2
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2022;2,0
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2021;1,9
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2020;1,8
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2019;1,9
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2018;2,4
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2017;2,1
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2016;1,7
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2015;1,7
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2014;1,7
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2013;1,8
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2012;2,2
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2011;1,8
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2010;1,8
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2009;1,8
323 Fabricación de artículos de deporte;Porcentaje;País Vasco;2008;1,9
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2024;0,3
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2023;0,7
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2022;0,3
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2021;0,4
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2020;0,4
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2019;0,4
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2018;0,4
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2017;0,4
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2016;0,5
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2015;1,4
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2014;0,5
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2013;0,5
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2012;0,6
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2011;0,6
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2010;0,6
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2009;0,7
323 Fabricación de artículos de deporte;Porcentaje;Rioja, La;2008;0,7
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2024;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2023;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2022;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2021;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2020;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2019;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2018;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2017;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2016;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2015;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2014;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2013;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2012;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2011;0,0
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2010;..
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2009;..
323 Fabricación de artículos de deporte;Porcentaje;Ceuta y Melilla;2008;..
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2024;4.372,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2023;4.506,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2022;5.110,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2021;5.135,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2020;5.416,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2019;5.788,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2018;5.990,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2017;6.310,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2016;6.666,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2015;6.932,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2014;7.052,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2013;7.253,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2012;7.669,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2011;7.653,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2010;7.743,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2009;7.558,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Total;2008;7.753,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2024;710,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2023;711,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2022;801,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2021;785,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2020;854,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2019;947,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2018;993,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2017;1.081,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2016;1.129,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2015;1.181,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2014;1.216,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2013;1.236,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2012;1.359,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2011;1.377,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2010;1.392,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2009;1.271,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Andalucía;2008;1.267,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2024;104,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2023;102,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2022;120,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2021;130,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2020;149,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2019;152,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2018;142,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2017;139,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2016;153,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2015;151,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2014;142,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2013;133,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2012;130,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2011;132,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2010;133,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2009;225,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Aragón;2008;220,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2024;98,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2023;103,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2022;113,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2021;109,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2020;118,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2019;137,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2018;154,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2017;153,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2016;149,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2015;152,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2014;154,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2013;161,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2012;168,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2011;162,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2010;175,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2009;185,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Asturias, Principado de;2008;177,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2024;211,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2023;218,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2022;254,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2021;246,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2020;276,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2019;284,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2018;288,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2017;295,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2016;315,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2015;338,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2014;341,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2013;370,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2012;384,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2011;378,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2010;378,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2009;283,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Balears, Illes;2008;285,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2024;237,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2023;260,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2022;298,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2021;309,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2020;311,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2019;324,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2018;341,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2017;340,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2016;341,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2015;344,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2014;343,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2013;355,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2012;349,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2011;372,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2010;414,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2009;448,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Canarias;2008;454,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2024;62,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2023;67,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2022;67,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2021;69,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2020;71,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2019;74,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2018;63,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2017;66,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2016;60,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2015;64,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2014;58,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2013;60,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2012;64,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2011;62,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2010;70,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2009;117,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cantabria;2008;111,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2024;170,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2023;182,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2022;200,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2021;210,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2020;216,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2019;239,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2018;261,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2017;276,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2016;291,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2015;309,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2014;307,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2013;319,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2012;328,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2011;306,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2010;302,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2009;356,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla y León;2008;356,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2024;149,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2023;146,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2022;153,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2021;157,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2020;168,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2019;191,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2018;198,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2017;211,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2016;232,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2015;250,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2014;244,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2013;239,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2012;232,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2011;235,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2010;239,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2009;283,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Castilla-La Mancha;2008;292,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2024;787,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2023;780,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2022;875,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2021;886,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2020;943,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2019;1.003,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2018;1.002,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2017;1.049,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2016;1.167,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2015;1.234,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2014;1.287,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2013;1.386,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2012;1.489,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2011;1.467,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2010;1.453,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2009;1.333,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Cataluña;2008;1.343,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2024;428,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2023;462,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2022;519,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2021;517,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2020;540,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2019;584,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2018;571,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2017;639,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2016;656,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2015;676,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2014;686,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2013;675,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2012;704,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2011;694,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2010;716,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2009;803,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Comunitat Valenciana;2008;799,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2024;83,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2023;88,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2022;101,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2021;102,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2020;102,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2019;111,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2018;119,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2017;134,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2016;138,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2015;141,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2014;157,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2013;163,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2012;199,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2011;196,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2010;197,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2009;172,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Extremadura;2008;182,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2024;322,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2023;330,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2022;367,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2021;370,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2020;381,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2019;390,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2018;421,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2017;426,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2016;462,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2015;477,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2014;488,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2013;517,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2012;544,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2011;538,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2010;566,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2009;513,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Galicia;2008;520,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Madrid, Comunidad de;2024;476,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Madrid, Comunidad de;2023;496,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Madrid, Comunidad de;2022;641,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Madrid, Comunidad de;2021;639,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Madrid, Comunidad de;2020;647,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Madrid, Comunidad de;2019;682,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Madrid, Comunidad de;2018;719,0
4764 Comercio al por menor de artículos deportivos;Valores absolutos;Madrid, Comunidad de;2017;750,0
